CMDLINE tin -vv tests/data/tin_config.yml merge tests/data/obj/densified_5m all_merge.star
MEM 14.242188 1576000178.4516
MEM 25.593750 1576000178.5520
MEM 52.769531 1576000178.6524
MEM 60.265625 1576000178.7529
MEM 72.246094 1576000178.8532
MEM 78.722656 1576000178.9536
MEM 84.160156 1576000179.0539
MEM 83.988281 1576000179.1542
MEM 84.445312 1576000179.2546
MEM 84.609375 1576000179.3549
MEM 84.964844 1576000179.4553
MEM 85.007812 1576000179.5556
MEM 85.761719 1576000179.6560
MEM 87.710938 1576000179.7563
MEM 89.761719 1576000179.8567
MEM 93.128906 1576000179.9570
MEM 95.339844 1576000180.0574
MEM 96.566406 1576000180.1577
MEM 96.566406 1576000180.2581
MEM 96.566406 1576000180.3585
MEM 96.566406 1576000180.4588
MEM 95.386719 1576000180.5592
MEM 95.386719 1576000180.6595
MEM 95.640625 1576000180.7599
MEM 94.722656 1576000180.8603
MEM 94.722656 1576000180.9606
MEM 97.554688 1576000181.0610
MEM 98.917969 1576000181.1613
MEM 98.917969 1576000181.2617
MEM 98.917969 1576000181.3621
MEM 98.917969 1576000181.4624
MEM 98.820312 1576000181.5627
MEM 98.820312 1576000181.6631
MEM 98.820312 1576000181.7635
MEM 99.332031 1576000181.8638
MEM 101.652344 1576000181.9642
MEM 101.652344 1576000182.0646
MEM 101.652344 1576000182.1649
MEM 101.652344 1576000182.2656
MEM 101.449219 1576000182.3659
MEM 101.449219 1576000182.4663
MEM 101.449219 1576000182.5666
MEM 101.449219 1576000182.6669
MEM 100.699219 1576000182.7673
MEM 100.699219 1576000182.8676
MEM 100.699219 1576000182.9680
MEM 96.433594 1576000183.0684
MEM 96.433594 1576000183.1687
MEM 99.011719 1576000183.2691
MEM 101.589844 1576000183.3695
MEM 103.394531 1576000183.4698
MEM 103.394531 1576000183.5702
MEM 103.394531 1576000183.6705
MEM 103.394531 1576000183.7709
MEM 103.394531 1576000183.8712
MEM 90.648438 1576000183.9717
